3	3	1	99	99	99
99	99	99	3	3	1
2	1	1	2	2	1
3	3	1	3	2	1
3	3	1	99	2	2
2	2	2	2	2	2
3	3	3	99	3	1
3	3	3	1	2	1
3	3	3	99	99	1
3	3	3	3	1	2
99	99	99	99	99	99
2	3	1	2	2	2
3	3	3	3	3	2
3	3	3	3	3	1
3	3	3	99	3	99
3	3	3	3	2	1
3	3	99	99	99	1
3	3	3	3	2	2
3	1	1	1	1	1
3	3	1	1	1	1
3	99	99	99	99	99
3	99	3	3	99	2
3	3	99	99	99	99
3	3	3	99	99	99
3	3	3	3	99	99
3	99	99	99	1	2
99	99	3	3	3	99
3	3	3	3	99	1
3	3	3	99	3	1
3	3	99	2	2	1
3	3	3	99	99	1
3	3	3	3	99	99
3	3	3	3	3	1
2	3	1	1	2	2
3	3	3	1	1	2
3	3	3	3	3	1
3	3	1	2	2	1
3	3	3	3	2	1
99	99	99	2	1	2
1	3	3	2	1	1
99	99	3	99	99	99
3	2	1	2	3	1
3	3	3	3	99	1
3	3	3	3	99	99
99	99	3	3	99	99
3	3	3	3	3	1
2	2	2	2	2	1
3	3	3	3	99	99
3	99	99	99	99	1
3	3	3	2	2	1
3	2	3	2	1	1
99	99	99	99	99	99
3	2	1	1	1	99
1	1	1	1	2	1
3	2	2	2	1	1
3	3	3	3	3	1
2	3	2	2	2	3
3	3	1	1	2	1
99	3	1	1	1	1
3	3	3	2	3	1
99	99	99	99	99	1
3	3	1	1	1	1
99	99	99	99	1	1
3	3	3	1	3	2
3	3	3	3	3	3
3	3	3	1	2	1
2	2	2	2	2	1
99	99	99	99	99	99
2	2	2	2	1	1
3	3	3	99	3	99
3	3	99	99	99	1
3	3	99	99	99	99
3	3	3	3	3	99
3	3	3	2	1	1
3	3	3	3	3	3
3	99	2	2	2	1
3	99	3	99	1	1
3	3	3	99	2	1
3	1	3	3	1	1
3	3	3	3	3	1
2	3	2	3	3	1
3	3	3	99	99	1
3	3	3	2	2	1
3	99	99	2	99	1
3	3	3	3	2	1
3	3	3	3	99	1
3	3	2	2	2	1
3	99	1	3	3	1
3	2	3	2	2	1
3	3	99	99	99	99
1	3	3	1	1	1
3	3	3	99	3	1
3	3	3	1	99	1
3	3	3	3	2	2
3	1	3	1	1	1
99	3	3	3	99	2
3	2	2	1	1	1
3	2	3	1	2	1
3	3	3	99	3	1
2	3	3	1	1	1
2	3	2	3	3	1
3	3	3	3	3	99
3	3	3	99	2	1
3	3	3	3	2	1
3	3	3	3	3	1
3	3	3	3	3	99
3	3	3	99	99	99
3	1	1	1	2	1
3	3	3	1	1	1
3	3	3	2	2	1
3	3	3	3	3	1
3	2	2	1	2	1
3	1	3	2	2	1
3	3	99	99	99	99
3	3	3	99	99	1
3	3	99	2	99	1
3	3	3	1	1	1
3	99	1	3	99	1
3	1	1	99	99	99
3	3	3	3	2	2
2	2	2	2	2	2
3	3	3	99	99	99
3	3	3	2	2	2
1	3	1	1	1	1
3	3	3	3	3	3
3	3	3	2	2	2
2	2	1	2	2	1
3	3	3	3	2	2
3	3	2	3	3	1
3	3	3	99	99	1
99	99	99	99	99	99
2	2	1	1	1	1
3	1	99	3	1	1
3	3	3	3	3	1
2	3	1	2	2	1
3	3	3	1	2	1
3	3	3	3	2	1
3	3	3	3	2	2
3	3	1	3	1	1
3	2	3	2	2	1
3	3	3	3	2	99
3	3	3	3	3	99
99	1	1	1	99	1
99	3	3	3	2	1
3	3	3	99	1	1
2	3	3	2	2	1
3	3	3	99	99	99
99	3	1	1	3	1
3	3	3	3	99	1
3	99	3	2	2	1
3	3	3	99	1	2
2	2	3	2	2	2
1	3	2	3	2	2
99	99	99	99	99	1
3	3	3	3	99	99
3	3	3	3	2	1
3	3	3	3	99	99
3	3	3	3	3	1
3	1	99	2	2	1
3	3	3	99	99	1
2	2	3	3	3	1
3	3	3	99	1	1
2	2	2	2	2	2
2	1	1	2	2	2
3	3	3	3	2	1
3	3	99	3	2	1
3	3	3	3	99	1
3	3	3	2	3	1
2	3	2	2	2	2
3	3	99	3	1	1
3	99	3	99	2	1
3	3	3	3	3	1
99	99	99	99	99	1
3	3	3	2	3	1
99	3	1	3	2	1
3	3	99	2	1	1
3	3	1	99	2	2
2	3	2	2	2	1
3	3	3	99	1	2
99	99	99	99	99	1
3	3	1	1	2	1
3	3	3	1	2	1
3	3	3	99	99	99
3	3	3	99	99	1
3	99	99	3	3	1
99	99	99	99	99	99
3	99	3	99	2	1
2	3	1	3	3	3
99	3	3	3	3	99
3	99	99	99	1	2
3	3	3	1	1	1
3	3	3	2	2	1
2	3	2	2	2	1
2	2	3	1	1	1
3	3	3	3	3	1
99	99	99	99	99	99
3	3	3	3	3	99
2	2	2	2	2	1
3	3	3	99	1	1
3	3	3	3	99	99
3	3	3	99	99	99
3	3	99	99	2	1
3	3	2	1	2	1
3	3	3	1	1	1
99	3	3	99	1	99
3	3	99	3	2	2
3	3	3	3	3	1
3	3	3	1	2	1
2	2	2	2	2	1
2	2	2	2	2	2
2	2	2	2	2	1
3	3	3	99	99	2
3	3	3	2	2	1
1	1	3	3	99	1
3	2	2	2	2	1
3	3	3	3	3	1
3	3	3	3	3	3
3	3	99	1	99	1
3	1	1	2	2	1
99	99	2	2	2	1
2	2	99	99	99	1
99	3	99	2	2	1
3	2	2	2	1	2
3	3	3	99	2	1
3	3	3	99	99	1
3	3	3	2	2	2
3	3	3	3	99	99
3	99	3	1	2	99
3	3	3	2	1	2
99	3	3	3	3	2
3	3	3	3	3	1
3	3	3	3	2	1
3	3	3	99	99	1
3	3	3	3	3	99
3	3	3	99	99	1
2	2	2	2	2	1
3	3	3	3	1	1
2	2	2	1	2	2
3	3	3	3	3	2
3	3	3	3	2	1
3	3	3	2	2	1
99	3	3	2	2	1
2	1	1	1	2	1
3	3	3	3	99	1
3	99	2	1	1	2
3	99	99	99	99	99
2	3	2	99	2	1
3	3	3	3	3	1
3	99	99	99	99	99
3	99	3	99	1	2
3	3	3	99	2	1
3	99	99	99	2	1
3	99	3	99	99	1
99	3	3	3	2	1
3	3	3	3	2	1
3	3	3	99	99	99
2	2	2	1	1	2
3	3	3	3	3	1
3	3	3	3	1	2
3	3	3	3	3	1
3	3	3	3	99	1
3	3	2	2	2	3
3	3	3	2	3	2
3	3	99	2	2	1
3	3	3	1	1	1
3	3	3	3	3	2
2	1	2	2	2	1
3	2	2	2	2	1
3	3	3	3	2	1
3	3	1	2	1	1
2	2	99	99	1	2
3	1	1	2	2	1
3	3	3	3	99	99
3	99	99	99	99	99
3	3	3	99	99	1
3	3	99	99	99	1
3	3	3	2	2	2
3	3	3	3	1	1
3	3	3	2	2	1
3	3	3	3	3	99
3	3	3	99	99	99
3	3	3	3	3	1
3	99	3	2	99	1
99	99	99	99	99	99
3	3	3	99	99	1
99	99	99	99	99	99
99	3	99	3	99	1
2	2	3	2	1	1
2	2	1	2	2	1
2	99	1	2	1	99
3	3	1	99	99	2
3	3	3	2	2	1
2	2	1	2	2	2
3	3	3	1	2	1
3	3	3	3	2	1
3	3	3	99	99	1
3	3	3	3	3	1
1	2	1	1	2	2
3	3	3	3	3	1
3	3	3	2	2	2
1	1	1	1	1	1
2	3	2	99	2	1
99	99	99	99	99	1
3	99	99	99	99	99
3	3	3	3	3	1
3	3	3	3	99	1
2	99	99	99	99	99
3	1	1	99	99	99
3	1	99	99	2	2
3	3	3	3	3	1
3	3	1	2	3	1
3	3	1	2	1	1
99	99	3	2	2	1
3	99	99	3	3	1
1	3	1	1	1	1
3	99	3	3	99	99
3	99	3	1	2	1
3	3	3	2	2	1
3	3	1	2	2	1
2	2	2	2	2	1
1	3	3	1	3	1
1	2	2	2	2	2
3	3	3	1	3	1
1	1	1	1	1	1
3	3	1	2	2	1
3	3	3	2	99	1
3	2	3	2	2	2
99	99	99	99	99	99
3	99	99	2	1	1
99	99	3	3	3	1
2	2	1	1	2	2
2	2	2	1	1	1
2	2	2	2	2	1
3	3	3	3	3	1
1	99	99	2	2	1
99	1	1	1	1	1
3	3	3	2	2	2
99	99	99	99	99	1
3	3	3	99	3	1
2	2	2	2	1	1
3	1	3	1	2	1
3	3	3	2	2	1
3	3	3	99	99	1
3	3	99	99	99	99
2	2	2	2	1	2
3	3	3	2	2	1
3	3	3	2	2	1
3	3	99	99	99	1
3	3	3	3	2	1
3	3	3	1	99	99
2	2	2	1	2	2
3	2	3	2	1	2
3	3	2	2	1	1
3	3	3	3	3	2
3	3	3	99	3	99
3	3	3	3	3	1
3	1	1	1	1	1
3	99	3	3	3	1
3	99	99	99	1	2
99	99	99	99	99	1
3	1	3	1	2	1
99	1	1	2	2	1
3	3	1	2	2	2
3	3	3	3	3	99
3	3	1	3	2	1
3	3	3	3	3	99
3	3	3	3	3	1
3	2	2	2	1	1
3	1	1	1	2	1
99	3	99	99	99	99
99	99	99	99	99	99
3	3	3	3	3	1
3	3	3	99	99	1
3	3	3	99	99	1
3	99	1	3	2	1
3	3	3	1	1	2
2	3	2	2	3	2
3	99	3	99	99	99
99	1	1	1	1	1
3	3	2	3	3	2
3	2	1	2	1	1
3	3	3	3	1	1
2	1	1	2	2	2
3	3	3	3	3	1
3	3	3	3	2	1
1	3	3	3	99	2
3	3	3	1	3	1
3	3	3	1	1	2
2	2	99	1	1	2
3	3	3	3	99	1
3	3	99	99	99	99
3	3	3	99	99	1
99	99	99	99	99	1
3	3	1	3	3	1
1	1	1	1	1	1
2	2	2	2	2	1
3	3	3	3	99	99
99	99	2	3	2	1
3	3	2	2	3	1
2	2	2	1	1	3
3	3	2	1	1	2
2	3	3	2	2	1
3	3	3	3	3	1
2	2	2	2	1	1
2	2	2	1	1	1
3	3	3	2	2	1
3	3	3	3	3	2
3	2	3	2	2	2
3	3	3	99	99	99
3	99	99	3	3	1
3	3	3	1	2	1
3	3	3	3	99	1
3	99	1	99	99	99
2	3	3	3	1	2
3	3	3	1	3	3
1	3	3	1	2	1
3	3	3	3	99	99
3	3	3	3	3	1
99	99	99	99	2	1
3	1	3	2	1	2
99	2	1	2	2	2
99	99	99	99	99	99
99	99	99	99	99	1
99	3	3	3	99	1
2	2	2	2	2	1
2	99	3	1	2	1
3	3	3	3	3	99
3	2	2	2	1	2
1	1	1	1	1	1
99	99	99	99	99	99
3	3	2	3	2	1
3	3	3	1	1	2
3	3	3	99	2	1
3	3	3	99	99	99
3	1	3	2	2	1
3	3	3	99	99	2
99	3	3	3	3	1
3	99	3	99	99	1
3	3	3	3	1	2
3	1	1	1	1	1
3	3	2	2	2	2
3	3	3	1	1	1
3	3	3	3	3	1
3	99	99	99	99	1
3	99	99	99	1	2
3	3	3	3	2	2
99	99	1	1	2	2
3	3	3	99	99	99
99	99	3	99	99	1
2	3	2	3	3	2
3	3	3	2	1	1
3	3	99	3	3	99
2	2	3	2	3	1
3	3	3	2	2	2
2	2	2	99	99	2
3	3	3	3	3	99
3	3	3	3	2	1
99	3	99	3	99	99
3	2	3	3	1	2
1	1	3	1	2	1
3	99	99	99	99	99
3	3	2	99	2	1
3	3	3	99	2	1
99	3	3	99	99	1
3	3	2	2	2	2
3	3	3	3	3	1
99	2	3	2	1	2
2	2	2	2	2	1
3	3	3	99	1	1
99	1	1	99	1	1
3	1	3	1	1	2
2	2	2	2	2	1
2	2	2	2	3	1
3	3	3	2	2	1
3	3	3	99	99	99
3	3	3	3	3	1
3	3	3	2	2	1
3	3	99	99	1	1
3	99	1	1	1	1
3	3	2	2	2	2
3	99	3	3	1	1
3	3	3	2	2	2
3	99	3	3	99	1
3	2	3	2	2	1
3	99	3	99	99	1
2	1	1	2	1	1
3	3	3	2	2	1
3	3	3	2	99	1
3	1	1	1	1	1
3	1	3	3	2	1
2	2	2	3	2	1
3	3	3	99	99	1
1	1	1	1	1	1
3	3	3	3	99	99
3	3	3	99	99	99
3	3	99	99	99	99
2	2	2	2	2	2
3	3	3	3	3	1
99	99	99	99	99	99
99	99	1	99	2	1
3	3	99	2	2	1
3	2	1	1	1	2
3	3	3	99	1	1
3	3	3	3	2	2
3	3	2	2	2	1
3	3	3	99	99	1
3	2	2	3	1	1
99	3	1	1	1	2
1	3	3	1	1	1
99	3	3	99	99	99
3	3	2	2	2	2
3	3	3	2	2	3
99	3	99	99	3	99
3	3	3	3	2	1
99	99	99	99	1	1
3	3	1	2	1	1
2	2	2	2	1	1
3	3	3	3	3	1
99	99	1	2	2	1
3	99	3	99	99	99
3	3	3	1	1	1
2	2	2	2	2	2
99	99	3	99	99	99
2	2	1	3	3	2
99	3	99	99	3	99
3	2	3	99	1	99
3	3	2	2	2	2
3	99	3	99	2	1
99	99	3	3	99	1
3	3	3	3	1	99
3	3	3	3	3	99
3	3	3	2	2	2
3	3	3	99	1	1
3	1	1	1	1	1
3	3	1	99	2	1
3	3	3	3	3	3
2	2	2	1	1	2
3	3	99	99	2	2
3	3	1	1	2	1
3	99	1	2	2	1
3	3	99	99	99	99
1	1	1	1	1	1
3	99	3	99	3	99
99	99	99	99	2	1
3	3	3	2	3	1
3	3	3	3	3	1
3	3	3	3	99	1
1	3	3	1	2	1
99	3	3	99	99	99
3	3	3	3	2	1
3	3	1	99	2	99
3	3	3	99	99	1
3	3	3	99	99	99
1	3	3	2	2	1
99	99	99	99	99	99
3	2	3	2	2	2
99	99	99	99	99	1
3	2	3	2	2	1
3	3	3	99	99	2
3	3	3	3	3	1
1	1	1	1	2	1
3	3	3	2	2	2
3	99	99	99	2	1
3	3	3	3	2	1
3	3	3	99	99	1
3	3	3	3	3	1
3	3	3	3	3	1
1	1	1	1	1	1
3	3	3	3	3	3
99	99	99	99	2	1
99	99	99	99	99	1
99	3	3	99	3	1
3	3	3	3	99	2
3	99	3	99	99	99
3	1	1	1	2	1
99	99	3	3	1	99
99	99	99	99	1	1
2	2	2	2	2	1
3	3	3	1	1	1
99	99	99	99	99	2
99	3	3	3	99	1
3	3	3	3	1	1
3	3	2	2	1	2
3	99	99	99	1	1
2	2	2	2	2	1
3	99	99	1	1	1
3	3	3	3	2	1
99	3	99	99	99	1
3	3	3	3	99	99
3	2	2	2	2	1
3	3	99	3	99	99
3	3	3	3	99	3
3	3	1	1	2	1
2	2	99	99	1	2
99	3	99	99	99	99
3	3	3	3	2	1
99	99	3	3	99	1
3	3	3	3	2	1
2	3	2	3	2	1
3	3	3	3	2	2
2	2	2	2	2	1
99	99	99	99	99	99
3	3	3	3	99	99
3	3	3	3	3	99
3	3	3	99	2	1
3	3	3	99	3	1
3	3	3	99	99	99
3	3	99	3	3	99
2	2	2	2	2	1
1	1	1	1	1	1
3	3	3	99	3	99
3	99	3	99	99	1
2	3	3	2	3	2
3	3	3	99	2	1
99	99	99	1	1	1
99	99	99	99	99	99
3	3	3	2	3	2
3	3	99	99	99	1
3	3	1	1	2	1
1	2	3	1	2	1
3	1	1	1	2	1
3	3	3	2	2	1
3	3	3	3	3	1
1	1	2	1	2	1
3	3	99	99	3	1
3	3	3	3	2	1
3	3	3	3	3	1
3	3	3	99	2	1
99	99	99	99	99	99
3	3	3	99	3	1
3	3	99	99	1	1
2	2	2	2	2	2
3	99	99	99	99	99
3	3	3	3	3	2
3	3	3	2	2	2
3	2	3	2	2	2
3	1	1	1	2	1
2	3	99	1	1	1
3	2	3	2	2	1
3	3	3	2	2	1
99	3	99	3	99	1
2	2	1	2	1	2
3	3	3	3	1	99
2	1	1	1	1	2
99	3	3	2	3	1
99	3	99	99	99	1
3	3	3	3	2	2
3	99	1	2	1	2
3	3	3	99	2	1
99	99	3	99	99	1
3	3	3	3	3	3
3	3	2	2	3	1
3	3	3	99	2	1
3	3	3	3	3	99
3	3	3	99	2	1
99	3	3	2	2	99
3	3	3	3	2	2
3	3	3	99	2	1
3	3	3	3	3	1
3	3	3	2	1	1
3	3	3	3	99	99
3	3	3	3	99	99
3	3	3	3	99	2
3	3	99	99	1	2
2	2	2	1	1	1
3	3	3	99	2	1
3	3	3	3	3	99
3	3	3	3	3	1
3	99	3	99	99	99
3	3	3	3	3	1
99	99	99	99	1	2
3	2	1	3	3	3
3	99	3	1	3	2
3	3	3	3	3	99
3	99	99	3	99	1
3	3	3	3	2	1
3	3	3	3	2	1
3	3	3	3	3	99
1	1	1	1	1	1
3	3	3	3	3	1
1	3	1	1	2	1
3	99	3	99	99	99
3	3	3	3	2	1
3	3	3	3	3	99
1	1	1	1	3	1
2	3	3	2	2	2
99	99	99	99	99	1
3	3	3	3	99	99
3	3	99	99	99	1
3	3	3	3	3	1
99	99	99	99	2	1
3	3	3	1	2	1
3	99	99	99	99	99
1	1	2	1	2	1
3	3	3	3	3	1
3	3	3	3	2	1
3	3	3	3	99	99
3	99	99	99	99	1
3	3	2	2	2	1
3	3	2	1	99	1
99	99	99	99	3	99
3	3	3	3	3	3
3	3	3	3	3	99
3	3	3	3	99	99
3	3	3	3	99	2
3	3	3	3	3	3
3	3	3	99	1	1
3	3	99	99	2	1
2	2	2	2	2	2
3	3	3	3	2	2
3	3	1	2	2	1
2	2	2	2	1	2
3	3	3	3	1	99
3	3	3	3	2	1
3	3	99	1	1	1
3	3	3	3	99	1
3	3	3	99	99	99
3	99	3	99	99	1
3	3	3	99	99	1
3	3	99	3	3	1
3	3	3	3	3	2
2	2	2	2	2	1
3	2	2	2	2	1
3	3	3	3	3	1
99	99	99	99	99	1
99	99	99	99	99	1
99	3	1	99	3	99
3	3	3	3	2	1
3	3	3	3	99	1
1	3	1	1	2	1
99	99	99	99	99	99
99	99	99	99	99	1
99	3	3	99	99	1
3	3	3	3	3	1
3	3	1	1	3	1
3	99	99	99	1	1
1	1	1	1	3	1
2	2	2	2	2	1
99	3	99	99	99	99
3	3	1	3	2	1
3	3	99	99	2	1
3	3	3	1	2	1
3	3	3	99	2	1
3	3	2	99	2	1
2	99	2	1	99	1
3	3	2	2	2	1
3	3	3	99	99	1
3	3	99	2	2	1
3	99	3	99	99	1
3	3	3	99	99	99
3	2	2	2	2	2
1	1	1	1	1	1
3	99	99	3	99	1
3	3	3	99	99	99
2	2	2	2	2	1
99	3	3	3	2	1
3	3	3	3	99	1
1	3	3	3	3	1
99	99	99	99	99	99
99	99	99	3	3	99
3	3	99	99	2	1
3	3	99	1	99	1
3	99	99	1	2	1
3	3	3	99	99	1
3	3	3	3	1	2
2	3	1	1	2	3
3	3	99	99	2	2
3	99	3	1	99	1
3	3	3	99	2	1
3	3	3	3	99	1
3	2	2	2	2	2
99	3	99	1	99	1
2	3	2	2	2	2
99	99	99	99	99	1
3	3	3	3	3	1
3	3	3	99	3	1
99	3	99	99	2	1
2	99	3	1	1	1
3	99	99	2	99	1
1	1	1	1	1	1
2	3	3	2	2	2
3	3	99	2	3	1
2	2	2	2	2	1
2	2	2	1	1	2
2	2	2	2	2	2
99	3	99	3	99	99
2	2	2	2	1	2
3	3	99	3	99	1
3	3	3	99	99	99
99	3	99	99	99	1
1	1	3	3	1	1
2	2	2	3	2	2
99	99	99	99	99	1
99	99	99	99	99	99
3	3	3	99	99	1
3	3	3	3	3	99
3	2	2	2	2	1
3	3	3	3	99	1
3	3	2	2	2	1
3	3	3	3	3	1
3	3	3	3	99	99
3	3	3	2	2	2
3	3	3	3	1	2
3	3	3	3	3	1
3	3	99	99	99	1
99	3	3	1	99	1
3	3	3	3	1	1
3	3	99	2	3	1
1	1	1	1	2	1
3	99	3	3	2	1
2	2	1	2	2	1
3	1	1	1	2	1
2	2	2	2	2	1
2	2	2	2	2	2
2	2	2	2	2	1
3	3	3	3	3	1
3	3	3	3	3	3
3	99	99	3	99	1
2	2	2	2	2	2
3	99	3	99	99	1
3	3	3	3	99	99
3	3	3	3	3	1
3	3	3	3	2	2
3	99	3	3	3	1
3	3	3	99	99	1
3	3	3	3	99	1
99	99	99	99	2	1
3	3	3	2	2	99
3	3	2	1	2	1
3	3	3	3	2	1
3	99	3	99	99	1
2	2	2	2	2	1
3	3	3	3	99	99
1	3	3	3	1	2
3	3	3	1	2	1
3	3	3	3	2	1
3	3	3	99	99	99
3	99	99	99	99	2
2	2	2	1	1	1
99	99	3	3	99	99
3	3	2	99	3	1
3	99	1	1	1	99
3	3	3	99	99	1
2	2	1	2	2	1
3	99	3	3	2	1
3	3	3	3	3	99
2	2	2	2	2	1
3	3	3	3	2	1
3	3	99	99	99	99
1	3	3	3	1	2
2	2	1	2	3	2
2	2	2	2	1	2
3	1	99	2	2	2
3	3	3	3	3	1
99	99	3	99	99	99
3	3	1	3	3	3
3	3	3	3	1	1
3	2	1	1	1	99
3	3	3	3	99	1
3	3	1	3	3	2
3	3	99	3	3	1
3	3	99	3	99	99
3	3	3	3	3	1
3	2	1	1	1	1
99	99	99	99	2	1
2	2	2	1	1	2
3	3	3	3	2	1
2	2	2	2	2	2
3	3	3	3	99	1
3	3	3	3	99	99
3	3	3	2	2	1
1	99	99	2	2	1
99	1	1	1	1	1
3	3	99	2	2	1
3	3	3	3	3	1
2	2	2	1	2	2
3	3	2	2	3	1
99	3	3	3	2	1
3	3	3	3	3	2
3	3	2	2	2	2
3	3	3	2	1	2
3	1	1	1	1	1
3	3	3	3	2	1
3	3	3	3	3	1
3	3	2	2	2	1
2	2	2	2	2	1
1	3	1	1	1	1
99	99	99	99	99	1
3	3	3	2	2	2
2	2	1	1	1	2
3	3	99	99	1	1
3	99	99	1	1	1
3	3	2	2	2	1
3	3	1	1	1	2
1	3	3	1	1	2
3	99	3	3	3	1
99	1	99	1	99	99
3	2	2	2	2	1
3	2	2	2	1	1
3	3	3	3	1	2
3	3	2	99	99	1
3	3	3	3	1	3
3	3	3	2	2	1
3	3	1	99	2	1
3	3	3	2	2	2
3	3	2	3	1	2
2	3	3	2	2	1
3	3	3	3	1	1
3	3	3	3	3	1
3	3	3	99	99	99
3	3	3	3	1	1
2	2	2	2	2	2
3	3	3	3	3	1
99	3	3	99	99	1
3	3	3	99	2	1
3	3	3	1	1	1
3	3	3	3	3	1
99	3	99	3	2	1
99	99	99	99	99	99
3	3	3	99	2	1
2	2	2	2	2	1
3	3	3	3	3	1
3	3	3	2	3	1
3	3	3	3	3	1
2	2	2	2	2	1
99	3	3	3	3	1
3	3	3	2	2	2
3	3	3	3	3	1
3	3	3	3	1	1
3	3	3	3	2	2
99	99	99	99	99	99
2	2	2	2	2	2
99	99	99	99	2	1
99	99	99	99	99	1
3	3	3	2	2	1
1	2	2	1	2	1
3	3	2	2	2	2
3	1	1	1	2	2
99	99	99	99	99	1
2	2	2	2	2	2
3	3	3	3	2	1
3	2	3	2	2	2
3	2	2	99	99	99
2	2	2	2	2	2
3	2	2	2	1	2
2	2	2	2	2	2
3	3	3	3	2	1
1	1	1	1	1	1
3	3	99	99	99	1
3	3	2	2	2	2
3	3	3	1	1	1
99	99	99	99	1	1
3	99	1	1	2	1
3	3	3	3	3	1
1	3	99	3	2	2
3	3	3	2	1	1
3	2	1	1	99	1
3	3	3	3	3	2
3	3	2	2	2	1
3	3	3	2	2	1
3	3	3	3	3	3
3	1	1	1	1	1
3	3	3	2	3	1
3	1	3	3	1	1
3	3	3	99	99	99
3	99	3	2	2	1
3	3	3	99	2	1
99	3	3	3	99	1
99	3	3	99	2	1
3	1	3	1	1	1
3	3	3	3	99	1
3	3	3	3	1	1
99	99	99	1	99	1
3	99	99	2	2	1
3	3	3	3	2	1
3	3	3	3	2	2
2	1	1	2	2	1
99	3	99	99	1	1
3	2	2	2	99	1
3	99	3	99	99	1
3	3	3	3	3	1
3	3	3	3	99	99
3	3	3	3	3	1
1	3	2	2	3	2
3	3	3	3	1	1
3	3	3	2	2	1
3	2	3	1	1	2
99	99	99	2	2	1
1	3	3	3	2	1
3	3	3	3	2	1
99	99	99	99	99	99
2	2	1	99	2	1
1	3	3	1	1	1
3	1	1	2	2	1
99	3	3	99	3	3
3	3	1	2	3	1
3	3	99	2	2	2
3	3	3	3	1	1
3	3	3	3	1	1
3	3	99	3	3	3
2	3	2	2	2	1
3	1	3	1	1	1
2	3	3	2	2	1
1	3	3	2	1	1
3	99	1	99	1	1
3	3	3	3	3	3
3	99	99	99	99	99
3	1	2	2	2	1
3	3	2	3	2	1
3	3	3	3	3	3
2	2	1	2	2	2
99	99	99	2	2	1
1	1	1	2	2	1
3	2	2	2	1	1
2	3	3	3	2	1
99	99	2	2	99	1
2	3	3	2	2	2
99	99	1	2	2	99
3	3	3	2	2	2
3	3	3	2	2	1
2	2	99	99	1	2
3	99	3	99	1	2
99	99	99	99	99	1
3	3	3	3	99	99
3	99	99	99	99	1
3	3	1	99	2	99
3	3	3	3	99	99
3	1	3	99	99	1
99	3	3	99	99	1
3	3	3	3	3	2
2	3	3	2	3	2
99	99	3	3	1	1
99	99	99	99	1	2
3	2	1	2	2	2
3	3	99	99	99	1
2	3	2	2	2	2
3	3	3	2	2	2
3	99	3	1	2	1
3	3	3	3	3	1
99	99	99	99	99	99
3	3	3	99	99	2
3	3	3	1	1	1
2	2	2	2	2	2
2	2	2	2	2	2
3	3	3	3	3	99
99	3	3	2	1	2
2	2	2	2	2	2
3	3	3	1	1	1
3	99	1	2	2	1
3	3	1	1	1	1
3	3	3	2	2	2
2	3	2	2	2	1
3	3	3	1	99	2
1	2	1	2	99	1
3	3	3	3	3	1
3	3	3	3	3	2
3	3	3	3	3	99
2	3	1	2	2	2
99	2	99	2	2	99
3	3	3	99	99	1
3	3	3	1	1	1
3	99	3	1	3	99
99	3	3	3	99	1
2	2	2	2	2	2
3	3	3	3	3	1
3	3	3	99	1	1
3	1	1	3	2	99
